CustomerID,Lookalikes
C0001,"[('C0025', 0.9891841805968491), ('C0104', 0.6074834629728025), ('C0102', 0.6074637569592128)]"
C0002,"[('C0173', 0.9399021203436735), ('C0090', 0.5636424076164489), ('C0162', 0.5630874136473287)]"
C0003,"[('C0031', 0.9956637935839785), ('C0181', 0.9918950863961089), ('C0004', 0.5940205424379125)]"
C0004,"[('C0165', 0.7124725375508373), ('C0175', 0.7100297571853926), ('C0188', 0.6917046246032397)]"
C0005,"[('C0149', 0.537584045138385), ('C0056', 0.537429977658422), ('C0106', 0.5370821660620677)]"
C0006,"[('C0082', 0.6052527949753345), ('C0087', 0.6035761057443015), ('C0188', 0.6032684698082095)]"
C0007,"[('C0200', 0.5486261920266132), ('C0138', 0.5482613515114346), ('C0022', 0.5476447745677853)]"
C0008,"[('C0030', 0.9567774935305903), ('C0109', 0.7194386360813471), ('C0156', 0.7191743496761823)]"
C0009,"[('C0119', 0.5175888779684555), ('C0103', 0.5169523116278503), ('C0121', 0.5151490415995053)]"
C0010,"[('C0124', 0.5724172208295376), ('C0017', 0.5718547451736473), ('C0034', 0.5709380866236745)]"
C0011,"[('C0171', 0.996146048118673), ('C0188', 0.6167672991260353), ('C0099', 0.6167104622229678)]"
C0012,"[('C0133', 0.9684906209735875), ('C0165', 0.6874928067949845), ('C0188', 0.675726902751996)]"
C0013,"[('C0165', 0.6873913170683321), ('C0188', 0.6799095558353518), ('C0099', 0.6781924825482321)]"
C0014,"[('C0060', 0.500197803213111), ('C0198', 0.4991787904386202), ('C0063', 0.4980967357259498)]"
C0015,"[('C0131', 0.5107573188483062), ('C0042', 0.5106893056897174), ('C0036', 0.5105851034588795)]"
C0016,"[('C0046', 0.9777712439884384), ('C0059', 0.6050286403343419), ('C0068', 0.6026842652824541)]"
C0017,"[('C0105', 0.9911690126965916), ('C0019', 0.971160806611392), ('C0141', 0.6982514636270855)]"
C0018,"[('C0026', 0.9899867934679127), ('C0049', 0.9737223091361371), ('C0065', 0.6534962280931942)]"
C0019,"[('C0105', 0.984410894493983), ('C0017', 0.971160806611392), ('C0075', 0.6015977445763578)]"
C0020,"[('C0015', 0.5021164695252804), ('C0144', 0.501300686522762), ('C0033', 0.4997913045969696)]"
